CAS,Name,Molecular Formulae,Molecular Weight
86-73-7,Fluorene,(C6H4)CH2(C6H4),166.2185
629-50-5,N-tridecane,CH3(CH2)11CH3,184.3614
85-01-8,Phenanthrene,C14H10,178.2292
629-59-4,N-tetradecane,CH3(CH2)12CH3,198.388
629-62-9,N-pentadecane,CH3(CH2)13CH3,212.4146
206-44-0,Fluoranthene,C16H10,202.2506
129-00-0,Pyrene,C16H10,202.2506
605-02-7,1-phenylnaphthalene,(C6H4)(C4H3)(C6H5),204.2665
544-76-3,N-hexadecane,CH3(CH2)14CH3,226.4412
218-01-9,Chrysene,C18H12,228.2879
493-01-6,Cis-decahydronaphthalene,(CH2)4CHCH(CH2)4,138.2499
493-02-7,Trans-decahydronaphthalene,(CH2)4CHCH(CH2)4,138.2499
1634-04-4,Methyl tert-butyl ether,CH3OC(CH3)3,88.14818
994-05-8,Methyl tert-pentyl ether,CH3OC(CH3)2CH2CH3,102.1748
75-85-4,2-methyl-2-butanol,CH3CH2C(CH3)(OH)CH3,88.14818
10544-73-7,Nitrogen trioxide,O2NNO,76.0116
10544-72-6,Nitrogen tetroxide,O2NNO2,92.011
7440-59-7,Helium-4,He,4.002602
7782-41-4,Fluorine,F2,37.9968
7439-90-9,Krypton,Kr,83.798
7440-63-3,Xenon,Xe,131.293
10028-15-6,Ozone,O3,47.9982
463-58-1,Carbonyl sulfide,OCS,60.0751
2551-62-4,Sulfur hexafluoride,SF6,146.0554
67-68-5,Dimethyl sulfoxide,CH3SOCH3,78.13344
629-78-7,N-heptadecane,CH3(CH2)15CH3,240.4677
593-45-3,N-octadecane,CH3(CH2)16CH3,254.4943
629-92-5,N-nonadecane,CH3(CH2)17CH3,268.5209
629-94-7,N-heneicosane,CH3(CH2)19CH3,296.5741
629-97-0,N-docosane,CH3(CH2)20CH3,310.6006
638-67-5,N-tricosane,CH3(CH2)21CH3,324.6272
646-31-1,N-tetracosane,CH3(CH2)22CH3,338.6538
629-99-2,N-pentacosane,CH3(CH2)23CH3,352.6804
630-01-3,N-hexacosane,CH3(CH2)24CH3,366.707
593-49-7,N-heptacosane,CH3(CH2)25CH3,380.7336
630-02-4,N-octacosane,CH3(CH2)26CH3,394.7601
630-03-5,N-nonacosane,CH3(CH2)27CH3,408.7867
111-01-3,Squalane,((CH3)2CH(C3H6CH(CH3))2C2H4)2,422.8133
591-76-4,2-methylhexane,CH3CH(CH3)(CH2)3CH3,100.202
589-34-4,3-methylhexane,CH3CH2CH(CH3)CH2CH2CH3,100.202
617-78-7,3-ethylpentane,CH3CH2CH(CH2CH3)CH2CH3,100.202
590-35-2,"2,2-dimethylpentane",CH3C(CH3)2CH2CH2CH3,100.202
565-59-3,"2,3-dimethylpentane",CH3CH2CH(CH3)CH(CH3)2,100.202
108-08-7,"2,4-dimethylpentane",(CH3)2CHCH2CH(CH3)2,100.202
562-49-2,"3,3-dimethylpentane",CH3CH2C(CH3)2CH2CH3,100.202
464-06-2,"2,2,3-trimethylbutane",(CH3)3CCH(CH3)2,100.202
592-27-8,2-methylheptane,(CH3)2CH(CH2)4CH3,114.2285
589-81-1,3-methylheptane,CH3CH2CH(CH3)(CH2)3CH3,114.2285
589-53-7,4-methylheptane,CH3(CH2)2CH(CH3)(CH2)2CH3,114.2285
619-99-8,3-ethylhexane,CH3CH2CH(C2H5)CH2CH2CH3,114.2285
590-73-8,"2,2-dimethylhexane",CH3C(CH3)2CH2CH2CH2CH3,114.2285
584-94-1,"2,3-dimethylhexane",CH3CH(CH3)CH(CH3)CH2CH2CH3,114.2285
589-43-5,"2,4-dimethylhexane",CH3CH(CH3)CH2CH(CH3)CH2CH3,114.2285
592-13-2,"2,5-dimethylhexane",CH3CH(CH3)CH2CH2CH(CH3)CH3,114.2285
563-16-6,"3,3-dimethylhexane",CH3CH2C(CH3)2CH2CH2CH3,114.2285
583-48-2,"3,4-dimethylhexane",CH3CH2CH(CH3)CH(CH3)CH2CH3,114.2285
609-26-7,2-methyl-3-ethylpentane,CH3CH(CH3)CH(CH2CH3)CH2CH3,114.2285
1067-08-9,3-methyl-3-ethylpentane,CH3CH2C(CH3)(CH2CH3)CH2CH3,114.2285
594-82-1,"2,2,3,3-tetramethylbutane",(CH3)3CC(CH3)3,114.2285
3522-94-9,"2,2,5-trimethylhexane",CH3C(CH3)2CH2CH2CH(CH3)2,128.2551
16747-30-1,"2,4,4-trimethylhexane",CH3CH2C(CH3)2CH2CH(CH3)2,128.2551
1067-20-5,"3,3-diethylpentane",CH3CH2C(C2H5)2CH2CH3,128.2551
7154-79-2,"2,2,3,3-tetramethylpentane",CH3C(CH3)2C(CH3)2CH2CH3,128.2551
1186-53-4,"2,2,3,4-tetramethylpentane",CH3C(CH3)2CH(CH3)CH(CH3)CH3,128.2551
